machine_id,timestamp,temperature,vibration,pressure,rpm,oil_level,failure
1,2024-01-01 00:00:00,68.05,0.5357,101.74,1509.2,77.55,0
1,2024-01-01 01:00:00,65.66,0.3998,101.82,1499.4,78.42,0
1,2024-01-01 02:00:00,66.12,0.3799,101.48,1531.5,80.66,1
1,2024-01-01 03:00:00,68.33,0.4302,106.5,1507.5,77.8,0
1,2024-01-01 04:00:00,65.52,0.4805,101.94,1519.3,77.85,0
1,2024-01-01 05:00:00,68.36,0.4998,94.81,1492.8,78.27,0
1,2024-01-01 06:00:00,68.03,0.5343,99.55,1487.6,78.83,0
1,2024-01-01 07:00:00,66.54,0.5082,95.78,1525.7,77.66,0
1,2024-01-01 08:00:00,68.79,0.5363,109.06,1534.3,77.83,0
1,2024-01-01 09:00:00,66.4,0.5093,109.46,1509.5,77.84,0
1,2024-01-01 10:00:00,70.02,0.4486,108.74,1525.0,76.98,0
1,2024-01-01 11:00:00,67.53,0.5125,112.25,1518.3,79.57,0
1,2024-01-01 12:00:00,66.9,0.4922,97.46,1539.7,78.9,0
1,2024-01-01 13:00:00,67.75,0.5699,101.96,1502.7,77.48,0
1,2024-01-01 14:00:00,68.74,0.5548,105.83,1525.0,79.35,0
1,2024-01-01 15:00:00,68.1,0.4626,102.9,1510.8,76.5,0
1,2024-01-01 16:00:00,62.46,0.5158,102.55,1512.8,78.41,0
1,2024-01-01 17:00:00,67.45,0.5937,105.39,1523.7,77.87,0
1,2024-01-01 18:00:00,67.77,0.4165,99.15,1498.6,78.04,0
1,2024-01-01 19:00:00,66.96,0.4914,106.02,1517.7,76.75,0
1,2024-01-01 20:00:00,69.37,0.4444,100.62,1533.8,77.11,0
1,2024-01-01 21:00:00,70.62,0.5321,115.45,1498.5,77.34,1
1,2024-01-01 22:00:00,71.29,0.5472,104.53,1510.9,78.54,0
1,2024-01-01 23:00:00,65.44,0.4584,112.23,1502.5,77.56,0
1,2024-01-02 00:00:00,67.19,0.533,109.69,1528.6,79.23,0
1,2024-01-02 01:00:00,73.0,0.519,108.38,1493.3,76.54,0
1,2024-01-02 02:00:00,69.18,0.5677,105.59,1534.9,78.02,0
1,2024-01-02 03:00:00,65.53,0.4481,107.74,1498.4,78.63,0
1,2024-01-02 04:00:00,69.52,0.572,106.57,1536.6,76.96,0
1,2024-01-02 05:00:00,68.29,0.4649,100.36,1516.2,78.16,0
1,2024-01-02 06:00:00,70.43,0.5371,118.1,1519.5,76.4,0
1,2024-01-02 07:00:00,67.96,0.4575,106.84,1513.1,78.51,1
1,2024-01-02 08:00:00,67.8,0.5489,102.16,1533.1,78.83,0
1,2024-01-02 09:00:00,67.38,0.5234,98.18,1520.9,78.16,0
1,2024-01-02 10:00:00,68.54,0.4731,109.69,1518.4,78.64,0
1,2024-01-02 11:00:00,70.23,0.4455,99.71,1527.6,78.27,0
1,2024-01-02 12:00:00,68.16,0.5588,111.58,1517.4,79.08,0
1,2024-01-02 13:00:00,70.11,0.5003,108.18,1501.7,77.5,0
1,2024-01-02 14:00:00,68.07,0.4901,95.43,1524.2,77.31,1
1,2024-01-02 15:00:00,68.33,0.4941,109.81,1518.3,76.64,0
1,2024-01-02 16:00:00,69.28,0.455,116.31,1553.8,79.07,0
1,2024-01-02 17:00:00,69.86,0.4181,105.29,1503.6,78.55,0
1,2024-01-02 18:00:00,66.68,0.6033,102.68,1510.5,78.0,0
1,2024-01-02 19:00:00,65.01,0.458,108.93,1559.2,78.7,0
1,2024-01-02 20:00:00,66.79,0.4579,103.15,1554.1,77.64,0
1,2024-01-02 21:00:00,66.41,0.5101,98.09,1549.3,76.22,0
1,2024-01-02 22:00:00,68.03,0.5003,104.61,1563.5,78.05,0
1,2024-01-02 23:00:00,70.13,0.5343,101.31,1517.9,77.25,0
1,2024-01-03 00:00:00,64.53,0.5892,101.23,1558.6,78.31,0
1,2024-01-03 01:00:00,68.48,0.5401,101.19,1512.2,77.12,0
1,2024-01-03 02:00:00,67.11,0.5091,109.05,1545.3,77.96,0
1,2024-01-03 03:00:00,69.54,0.4863,101.48,1531.1,78.2,0
1,2024-01-03 04:00:00,64.82,0.4675,100.93,1539.4,79.13,0
1,2024-01-03 05:00:00,67.53,0.5947,104.38,1529.7,77.26,0
1,2024-01-03 06:00:00,67.89,0.4996,113.83,1537.3,75.77,0
1,2024-01-03 07:00:00,67.55,0.589,108.22,1528.4,78.18,0
1,2024-01-03 08:00:00,67.06,0.5314,93.8,1551.3,77.23,0
1,2024-01-03 09:00:00,70.09,0.5534,101.43,1499.3,77.77,0
1,2024-01-03 10:00:00,67.63,0.5437,107.03,1533.2,78.67,0
