machine_id,timestamp,risk_level,failure_prob,alert_reason
1,2024-02-27 10:00:00,CRITICAL,0.9026,ML model predicts FAILURE (prob=90.3%) | ⚠ WARNING: Temperature=101.09°C | ⚠ CRITICAL: Vibration=2.2905 mm/s
3,2024-02-27 14:00:00,CRITICAL,0.9005,ML model predicts FAILURE (prob=90.0%) | ⚠ CRITICAL: Temperature=113.73°C | ⚠ CRITICAL: Vibration=2.3349 mm/s
4,2024-02-28 19:00:00,CRITICAL,0.8973,ML model predicts FAILURE (prob=89.7%) | ⚠ CRITICAL: Temperature=114.66°C | ⚠ CRITICAL: Vibration=2.2938 mm/s
4,2024-02-29 05:00:00,CRITICAL,0.8967,ML model predicts FAILURE (prob=89.7%) | ⚠ CRITICAL: Temperature=115.46°C | ⚠ CRITICAL: Vibration=2.3145 mm/s
4,2024-02-28 04:00:00,CRITICAL,0.8964,ML model predicts FAILURE (prob=89.6%) | ⚠ CRITICAL: Temperature=114.41°C | ⚠ CRITICAL: Vibration=2.2529 mm/s
2,2024-02-18 01:00:00,CRITICAL,0.8952,ML model predicts FAILURE (prob=89.5%) | ⚠ WARNING: Temperature=104.01°C
2,2024-02-28 13:00:00,CRITICAL,0.895,ML model predicts FAILURE (prob=89.5%) | ⚠ CRITICAL: Temperature=112.58°C | ⚠ CRITICAL: Vibration=2.1499 mm/s
4,2024-02-28 17:00:00,CRITICAL,0.8945,ML model predicts FAILURE (prob=89.5%) | ⚠ CRITICAL: Temperature=113.46°C | ⚠ CRITICAL: Vibration=2.369 mm/s
5,2024-02-28 17:00:00,CRITICAL,0.8943,ML model predicts FAILURE (prob=89.4%) | ⚠ CRITICAL: Temperature=111.8°C | ⚠ CRITICAL: Vibration=2.0844 mm/s
4,2024-02-29 09:00:00,CRITICAL,0.8943,ML model predicts FAILURE (prob=89.4%) | ⚠ CRITICAL: Temperature=113.05°C | ⚠ CRITICAL: Vibration=2.3142 mm/s
3,2024-02-27 17:00:00,CRITICAL,0.8936,ML model predicts FAILURE (prob=89.4%) | ⚠ CRITICAL: Temperature=114.91°C | ⚠ CRITICAL: Vibration=2.2104 mm/s
